 format: day,hour,forecast,value  location:53_120 Start : 20170701 
 5,1400,+40,187.000000 
 5,1400,+43,192.000000 
 5,1400,+46,181.000000 
 5,1400,+49,180.000000 
 5,1700,+4,170.000000 
 5,1700,+7,122.000000 
 5,1700,+10,174.000000 
 5,1700,+13,219.000000 
 5,1700,+16,219.000000 
 5,1700,+19,207.000000 
 5,1700,+22,85.000000 
 5,1700,+25,108.000000 
 5,1700,+28,147.000000 
 5,1700,+31,176.000000 
 5,1700,+34,156.000000 
 5,1700,+37,187.000000 
 5,1700,+40,192.000000 
 5,1700,+43,181.000000 
 5,1700,+46,180.000000 
 5,2000,+4,113.000000 
 5,2000,+7,127.000000 
 5,2000,+10,352.000000 
 5,2000,+13,8.000000 
 5,2000,+16,180.000000 
 5,2000,+19,113.000000 
 5,2000,+22,120.000000 
 5,2000,+25,134.000000 
 5,2000,+28,136.000000 
 5,2000,+31,156.000000 
 5,2000,+34,169.000000 
 5,2000,+37,184.000000 
 5,2000,+40,182.000000 
 5,2000,+43,195.000000 
 5,2000,+46,176.000000 
 5,2000,+49,181.000000 
 5,2000,+52,190.000000 
 5,2000,+55,185.000000 
 5,2000,+58,193.000000 
 5,2000,+61,214.000000 
 5,2000,+64,147.000000 
 5,2000,+67,203.000000 
 5,2300,+4,127.000000 
 5,2300,+7,352.000000 
 5,2300,+10,8.000000 
 5,2300,+13,180.000000 
 5,2300,+16,113.000000 
 5,2300,+19,120.000000 
 5,2300,+22,134.000000 
 5,2300,+25,136.000000 
 5,2300,+28,156.000000 
 5,2300,+31,169.000000 
 5,2300,+34,184.000000 
 5,2300,+37,182.000000 
 5,2300,+40,195.000000 
 5,2300,+43,176.000000 
 5,2300,+46,181.000000 
 5,2300,+49,190.000000 
 5,2300,+52,185.000000 
 5,2300,+55,193.000000 
 5,2300,+58,214.000000 
 5,2300,+61,147.000000 
 5,2300,+64,203.000000 
 6,0200,+4,352.000000 
 6,0200,+7,8.000000 
 6,0200,+10,180.000000 
 6,0200,+13,113.000000 
 6,0200,+16,120.000000 
 6,0200,+19,134.000000 
 6,0200,+22,136.000000 
 6,0200,+25,156.000000 
 6,0200,+28,169.000000 
 6,0200,+31,184.000000 
 6,0200,+34,182.000000 
 6,0200,+37,195.000000 
