월별평년값,,,,,,,,,,,,,
MONTHLY NORMALS,,,,,,,,,,,,,
* 목차로 돌아가기,,,,,,,,,,,,,
일최고기온 Daily Maximum Temperature(℃),,,,,,,,,,,,,
지점번호,지점명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
526,평창,1.8 ,5.1 ,11.0 ,17.8 ,23.4 ,27.0 ,28.1 ,28.8 ,24.6 ,19.2 ,11.2 ,3.6 
532,의정부,1.8 ,5.1 ,11.5 ,18.4 ,24.1 ,28.0 ,29.3 ,30.3 ,26.2 ,20.0 ,11.7 ,3.6 
536,횡성,2.3 ,5.8 ,12.3 ,19.5 ,24.9 ,28.7 ,29.7 ,30.4 ,26.2 ,20.4 ,12.1 ,4.0 
540,고양,2.2 ,5.6 ,11.7 ,18.6 ,24.5 ,28.6 ,29.7 ,30.9 ,27.0 ,20.8 ,12.3 ,4.1 
541,남양주,2.7 ,6.0 ,12.1 ,18.8 ,24.5 ,28.4 ,29.5 ,30.4 ,26.4 ,20.5 ,12.3 ,4.5 
545,안산,2.3 ,5.2 ,11.1 ,17.8 ,23.4 ,27.4 ,29.4 ,30.6 ,26.6 ,20.4 ,12.4 ,4.5 
546,경기광주,2.2 ,5.4 ,11.7 ,18.6 ,23.9 ,27.8 ,29.2 ,30.2 ,26.0 ,20.0 ,11.9 ,3.9 
548,여주,2.0 ,5.5 ,12.2 ,19.5 ,24.9 ,28.2 ,29.6 ,30.3 ,26.0 ,20.0 ,11.7 ,3.7 
549,용인,2.6 ,5.7 ,11.7 ,18.5 ,23.9 ,27.8 ,29.2 ,30.1 ,26.0 ,20.1 ,12.2 ,4.4 
550,오산,2.6 ,5.7 ,11.8 ,18.8 ,24.5 ,28.3 ,30.0 ,31.0 ,26.8 ,20.7 ,12.6 ,4.7 
551,평택,2.7 ,5.8 ,11.8 ,18.7 ,24.5 ,28.3 ,30.2 ,31.1 ,27.0 ,21.0 ,12.7 ,4.8 
555,화천,1.9 ,5.5 ,11.9 ,19.1 ,24.7 ,28.5 ,29.6 ,30.4 ,26.1 ,20.1 ,11.4 ,3.5 
556,양구,1.6 ,5.1 ,11.3 ,18.4 ,24.2 ,28.1 ,29.0 ,29.9 ,25.5 ,19.7 ,11.0 ,3.2 
565,시흥,2.5 ,5.2 ,10.7 ,17.3 ,23.0 ,27.1 ,29.3 ,30.5 ,26.6 ,20.5 ,12.4 ,4.7 
569,구리,2.3 ,5.5 ,11.7 ,18.7 ,24.5 ,28.4 ,29.8 ,30.7 ,26.6 ,20.5 ,12.0 ,4.1 
570,금곡,2.0 ,5.0 ,10.5 ,17.0 ,22.5 ,26.5 ,28.4 ,29.7 ,25.9 ,20.0 ,11.7 ,3.8 
