시도명,시군구명,읍면동,날짜,우량(mm),관리기관명
안산시,상록구,안산동,2014-05-13,0,경기도 안산시청
안산시,상록구,안산동,2014-05-14,0,경기도 안산시청
안산시,상록구,안산동,2014-05-15,0,경기도 안산시청
안산시,상록구,안산동,2014-05-16,0,경기도 안산시청
안산시,상록구,안산동,2014-05-17,0,경기도 안산시청
안산시,상록구,안산동,2014-05-18,0,경기도 안산시청
안산시,상록구,안산동,2014-05-19,0,경기도 안산시청
안산시,상록구,안산동,2014-05-20,0,경기도 안산시청
안산시,상록구,안산동,2014-05-21,0,경기도 안산시청
안산시,상록구,안산동,2014-05-22,0,경기도 안산시청
안산시,상록구,안산동,2014-05-23,0,경기도 안산시청
안산시,상록구,안산동,2014-05-24,0,경기도 안산시청
안산시,상록구,안산동,2014-05-25,11,경기도 안산시청
안산시,상록구,안산동,2014-05-26,1,경기도 안산시청
안산시,상록구,안산동,2014-05-27,0,경기도 안산시청
안산시,상록구,안산동,2014-05-28,0,경기도 안산시청
안산시,상록구,안산동,2014-05-29,0,경기도 안산시청
안산시,상록구,안산동,2014-05-30,0,경기도 안산시청
안산시,상록구,안산동,2014-05-31,0,경기도 안산시청
안산시,상록구,안산동,2014-06-01,0,경기도 안산시청
안산시,상록구,안산동,2014-06-02,4,경기도 안산시청
안산시,상록구,안산동,2014-06-03,41,경기도 안산시청
안산시,상록구,안산동,2014-06-04,0,경기도 안산시청
안산시,상록구,안산동,2014-06-05,0,경기도 안산시청
안산시,상록구,안산동,2014-06-06,0,경기도 안산시청
안산시,상록구,안산동,2014-06-07,0,경기도 안산시청
안산시,상록구,안산동,2014-06-08,0,경기도 안산시청
안산시,상록구,안산동,2014-06-09,0,경기도 안산시청
안산시,상록구,안산동,2014-06-10,0,경기도 안산시청
안산시,상록구,안산동,2014-06-11,10,경기도 안산시청
안산시,상록구,안산동,2014-06-12,0,경기도 안산시청
안산시,상록구,안산동,2014-06-13,0,경기도 안산시청
안산시,상록구,안산동,2014-06-14,0,경기도 안산시청
안산시,상록구,안산동,2014-06-15,0,경기도 안산시청
안산시,상록구,안산동,2014-06-16,0,경기도 안산시청
안산시,상록구,안산동,2014-06-17,0,경기도 안산시청
안산시,상록구,안산동,2014-06-18,0,경기도 안산시청
안산시,상록구,안산동,2014-06-19,0,경기도 안산시청
안산시,상록구,안산동,2014-06-20,2,경기도 안산시청
안산시,상록구,안산동,2014-06-21,12,경기도 안산시청
안산시,상록구,안산동,2014-06-22,0,경기도 안산시청
안산시,상록구,안산동,2014-06-23,4,경기도 안산시청
안산시,상록구,안산동,2014-06-24,0,경기도 안산시청
안산시,상록구,안산동,2014-06-25,0,경기도 안산시청
안산시,상록구,안산동,2014-06-26,0,경기도 안산시청
안산시,상록구,안산동,2014-06-27,0,경기도 안산시청
안산시,상록구,안산동,2014-06-28,0,경기도 안산시청
안산시,상록구,안산동,2014-06-29,0,경기도 안산시청
안산시,상록구,안산동,2014-06-30,0,경기도 안산시청
안산시,상록구,안산동,2014-07-01,0,경기도 안산시청
안산시,상록구,안산동,2014-07-02,5,경기도 안산시청
안산시,상록구,안산동,2014-07-03,4,경기도 안산시청
안산시,상록구,안산동,2014-07-04,0,경기도 안산시청
안산시,상록구,안산동,2014-07-05,0,경기도 안산시청
안산시,상록구,안산동,2014-07-06,0,경기도 안산시청
안산시,상록구,안산동,2014-07-07,0,경기도 안산시청
안산시,상록구,안산동,2014-07-08,2,경기도 안산시청
안산시,상록구,안산동,2014-07-09,0,경기도 안산시청
안산시,상록구,안산동,2014-07-10,0,경기도 안산시청
안산시,상록구,안산동,2014-07-11,0,경기도 안산시청
안산시,상록구,안산동,2014-07-12,0,경기도 안산시청
안산시,상록구,안산동,2014-07-13,0,경기도 안산시청
안산시,상록구,안산동,2014-07-14,0,경기도 안산시청
안산시,상록구,안산동,2014-07-15,0,경기도 안산시청
안산시,상록구,안산동,2014-07-16,0,경기도 안산시청
안산시,상록구,안산동,2014-07-17,0,경기도 안산시청
안산시,상록구,안산동,2014-07-18,73,경기도 안산시청
안산시,상록구,안산동,2014-07-19,0,경기도 안산시청
안산시,상록구,안산동,2014-07-20,0,경기도 안산시청
안산시,상록구,안산동,2014-07-21,0,경기도 안산시청
안산시,상록구,안산동,2014-07-22,6,경기도 안산시청
안산시,상록구,안산동,2014-07-23,45,경기도 안산시청
안산시,상록구,안산동,2014-07-24,34,경기도 안산시청
안산시,상록구,안산동,2014-07-25,38,경기도 안산시청
안산시,상록구,안산동,2014-07-26,2,경기도 안산시청
안산시,상록구,안산동,2014-07-27,0,경기도 안산시청
안산시,상록구,안산동,2014-07-28,0,경기도 안산시청
안산시,상록구,안산동,2014-07-29,0,경기도 안산시청
안산시,상록구,안산동,2014-07-30,0,경기도 안산시청
안산시,상록구,안산동,2014-07-31,0,경기도 안산시청
안산시,상록구,안산동,2014-08-01,0,경기도 안산시청
안산시,상록구,안산동,2014-08-02,0,경기도 안산시청
안산시,상록구,안산동,2014-08-03,25,경기도 안산시청
안산시,상록구,안산동,2014-08-04,2,경기도 안산시청
안산시,상록구,안산동,2014-08-05,0,경기도 안산시청
안산시,상록구,안산동,2014-08-06,14,경기도 안산시청
안산시,상록구,안산동,2014-08-07,0,경기도 안산시청
안산시,상록구,안산동,2014-08-08,0,경기도 안산시청
안산시,상록구,안산동,2014-08-09,0,경기도 안산시청
안산시,상록구,안산동,2014-08-10,54,경기도 안산시청
안산시,상록구,안산동,2014-08-11,0,경기도 안산시청
안산시,상록구,안산동,2014-08-12,0,경기도 안산시청
안산시,상록구,안산동,2014-08-13,1,경기도 안산시청
안산시,상록구,안산동,2014-08-14,2,경기도 안산시청
안산시,상록구,안산동,2014-08-15,0,경기도 안산시청
안산시,상록구,안산동,2014-08-16,0,경기도 안산시청
안산시,상록구,안산동,2014-08-17,6,경기도 안산시청
안산시,상록구,안산동,2014-08-18,2,경기도 안산시청
안산시,상록구,안산동,2014-08-19,2,경기도 안산시청
안산시,상록구,안산동,2014-08-20,0,경기도 안산시청
안산시,상록구,안산동,2014-08-21,102,경기도 안산시청
안산시,상록구,안산동,2014-08-22,2,경기도 안산시청
안산시,상록구,안산동,2014-08-23,0,경기도 안산시청
안산시,상록구,안산동,2014-08-24,0,경기도 안산시청
안산시,상록구,안산동,2014-08-25,0,경기도 안산시청
안산시,상록구,안산동,2014-08-26,0,경기도 안산시청
안산시,상록구,안산동,2014-08-27,0,경기도 안산시청
안산시,상록구,안산동,2014-08-28,0,경기도 안산시청
안산시,상록구,안산동,2014-08-29,0,경기도 안산시청
안산시,상록구,안산동,2014-08-30,0,경기도 안산시청
안산시,상록구,안산동,2014-08-31,0,경기도 안산시청
안산시,상록구,안산동,2014-09-01,1,경기도 안산시청
안산시,상록구,안산동,2014-09-02,5,경기도 안산시청
안산시,상록구,안산동,2014-09-03,42,경기도 안산시청
안산시,상록구,안산동,2014-09-04,0,경기도 안산시청
안산시,상록구,안산동,2014-09-05,0,경기도 안산시청
안산시,상록구,안산동,2014-09-06,0,경기도 안산시청
안산시,상록구,안산동,2014-09-07,0,경기도 안산시청
안산시,상록구,안산동,2014-09-08,0,경기도 안산시청
안산시,상록구,안산동,2014-09-09,0,경기도 안산시청
안산시,상록구,안산동,2014-09-10,0,경기도 안산시청
안산시,상록구,안산동,2014-09-11,0,경기도 안산시청
안산시,상록구,안산동,2014-09-12,0,경기도 안산시청
안산시,상록구,안산동,2014-09-13,0,경기도 안산시청
안산시,상록구,안산동,2014-09-14,0,경기도 안산시청
안산시,상록구,안산동,2014-09-15,0,경기도 안산시청
안산시,상록구,안산동,2014-09-16,0,경기도 안산시청
안산시,상록구,안산동,2014-09-17,0,경기도 안산시청
안산시,상록구,안산동,2014-09-18,0,경기도 안산시청
안산시,상록구,안산동,2014-09-19,0,경기도 안산시청
안산시,상록구,안산동,2014-09-20,0,경기도 안산시청
안산시,상록구,안산동,2014-09-21,0,경기도 안산시청
안산시,상록구,안산동,2014-09-22,0,경기도 안산시청
안산시,상록구,안산동,2014-09-23,0,경기도 안산시청
안산시,상록구,안산동,2014-09-24,7,경기도 안산시청
안산시,상록구,안산동,2014-09-25,0,경기도 안산시청
안산시,상록구,안산동,2014-09-26,0,경기도 안산시청
안산시,상록구,안산동,2014-09-27,0,경기도 안산시청
안산시,상록구,안산동,2014-09-28,0,경기도 안산시청
안산시,상록구,안산동,2014-09-29,6,경기도 안산시청
안산시,상록구,안산동,2014-09-30,0,경기도 안산시청
안산시,상록구,안산동,2014-10-01,0,경기도 안산시청
안산시,상록구,안산동,2014-10-02,0,경기도 안산시청
안산시,상록구,안산동,2014-10-03,0,경기도 안산시청
안산시,상록구,안산동,2014-10-04,0,경기도 안산시청
안산시,상록구,안산동,2014-10-05,0,경기도 안산시청
안산시,상록구,안산동,2014-10-06,0,경기도 안산시청
안산시,상록구,안산동,2014-10-07,0,경기도 안산시청
안산시,상록구,안산동,2014-10-08,0,경기도 안산시청
